event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank
251,CVE-2022-35919,2023-10-09,CVE-2022-21449,2025-05-05,4,0.14999999999999963,0.00141,0.49396,0.0,0.00189,0.5602,0.0,0.06624000000000002,2
252,CVE-2022-3602,2022-11-01,CVE-2022-21449,2025-05-05,2,0.0,0.05315,0.89586,1.0,0.27302,0.97072,0.0,0.07486000000000004,1
254,CVE-2022-37061,2025-04-16,CVE-2022-38181,2025-05-23,2,1.3,0.92506,0.99714,0.0,0.22995,0.95509,0.0,0.04205000000000003,1
257,CVE-2022-37966,2023-01-16,CVE-2022-0847,2025-04-30,9,0.2999999999999998,0.05569,0.89636,0.0,0.06503,0.90664,0.0,0.010279999999999956,1
258,CVE-2022-37967,2023-01-16,CVE-2022-46908,2025-05-14,1,0.14999999999999963,0.01743,0.75593,0.0,0.01365,0.70962,0.0,0.04630999999999996,1
262,CVE-2022-38023,2023-01-16,CVE-2022-0847,2025-04-30,9,0.2999999999999998,0.05569,0.89636,0.0,0.06503,0.90664,0.0,0.010279999999999956,1
263,CVE-2022-38028,2025-04-17,CVE-2022-41966,2025-05-20,3,0.44999999999999946,0.02682,0.85004,0.0,0.04884,0.88961,0.0,0.039569999999999994,1
268,CVE-2022-40242,2025-03-18,CVE-2022-34707,2025-05-16,6,0.3499999999999998,0.00144,0.3211,0.0,0.00202,0.40344,0.0,0.08234000000000002,1
268,CVE-2022-40242,2025-03-18,CVE-2022-46908,2025-05-14,2,0.25000000000000017,0.00144,0.3211,0.0,0.00088,0.23131,0.0,0.08979000000000001,2
269,CVE-2022-40258,2025-03-18,CVE-2022-30115,2025-05-13,4,1.05,0.00069,0.1864,0.0,0.00073,0.19562,0.0,0.009219999999999978,1
269,CVE-2022-40258,2025-03-18,CVE-2022-46908,2025-05-14,5,2.3,0.00069,0.1864,0.0,0.00088,0.23131,0.0,0.04490999999999998,2
270,CVE-2022-40259,2025-03-18,CVE-2022-35768,2025-05-16,12,0.5500000000000009,0.00236,0.44584,0.0,0.00222,0.42792,0.0,0.01791999999999999,1
270,CVE-2022-40259,2025-03-18,CVE-2022-34707,2025-05-16,11,0.5500000000000009,0.00236,0.44584,0.0,0.00202,0.40344,0.0,0.04239999999999999,2
272,CVE-2022-40684,2025-03-18,CVE-2022-1388,2025-05-13,2,0.05,0.94427,0.99982,0.0,0.94456,0.99993,0.0,0.00010999999999994348,1
272,CVE-2022-40684,2025-03-18,CVE-2022-42889,2025-04-18,1,0.05,0.94427,0.99982,0.0,0.94115,0.99899,0.0,0.0008299999999999974,2
272,CVE-2022-40684,2025-03-18,CVE-2022-41352,2025-05-13,3,0.05,0.94427,0.99982,0.0,0.75449,0.9885,0.0,0.011319999999999997,3
274,CVE-2022-41328,2025-03-12,CVE-2022-30190,2025-05-13,10,1.3999999999999997,0.0521,0.93061,0.0,0.07799,0.94358,0.0,0.012969999999999926,1
274,CVE-2022-41328,2025-03-12,CVE-2022-0847,2025-04-30,8,1.3999999999999997,0.0521,0.93061,0.0,0.03123,0.91174,0.0,0.018870000000000053,2
276,CVE-2022-41358,2025-04-16,CVE-2022-3604,2025-05-26,2,2.6999999999999993,0.00244,0.4777,0.0,0.00216,0.4441,0.0,0.03360000000000002,1
277,CVE-2022-41544,2023-05-23,CVE-2022-4681,2024-03-10,5,0.0,0.00699,0.77417,0.0,0.00601,0.75343,0.0,0.02073999999999998,1
277,CVE-2022-41544,2023-05-23,CVE-2022-25148,2023-09-04,4,0.0,0.00699,0.77417,0.0,0.00898,0.80402,0.0,0.029849999999999932,2
277,CVE-2022-41544,2023-05-23,CVE-2022-4297,2023-07-03,1,0.0,0.00699,0.77417,0.0,0.0053,0.73712,0.0,0.03705000000000003,3
278,CVE-2022-41545,2025-02-19,CVE-2022-2390,2025-04-26,5,0.3500000000000007,0.00045,0.17984,0.0,0.00044,0.15118,0.0,0.02865999999999999,1
278,CVE-2022-41545,2025-02-19,CVE-2022-29614,2025-04-09,10,1.4500000000000004,0.00045,0.17984,0.0,0.00058,0.26995,0.0,0.09011000000000002,2
282,CVE-2022-42475,2025-04-13,CVE-2022-38181,2025-05-23,2,1.3,0.92863,0.99765,0.0,0.22995,0.95445,0.0,0.043200000000000016,1
283,CVE-2022-42821,2025-01-13,CVE-2022-40258,2025-03-18,3,0.20000000000000018,0.00084,0.37691,0.0,0.00078,0.35825,0.0,0.01866000000000001,1
283,CVE-2022-42821,2025-01-13,CVE-2022-34708,2025-05-16,1,0.05,0.00084,0.37691,0.0,0.00069,0.32369,0.0,0.053220000000000045,2
283,CVE-2022-42821,2025-01-13,CVE-2022-22126,2025-04-11,7,0.6499999999999997,0.00084,0.37691,0.0,0.00062,0.28415,0.0,0.09276000000000001,3
284,CVE-2022-42889,2025-04-18,CVE-2022-38181,2025-05-23,2,1.3,0.94115,0.99894,0.0,0.22995,0.95518,0.0,0.04376000000000002,1
285,CVE-2022-4297,2023-07-03,CVE-2022-4395,2024-04-02,3,0.0,0.00423,0.70736,0.0,0.00412,0.70342,0.0,0.0039399999999999435,1
285,CVE-2022-4297,2023-07-03,CVE-2022-4681,2024-03-10,2,0.0,0.00423,0.70736,0.0,0.00601,0.75508,0.0,0.047719999999999985,2
285,CVE-2022-4297,2023-07-03,CVE-2022-25148,2023-09-04,1,0.0,0.00423,0.70736,0.0,0.00898,0.80487,0.0,0.09750999999999999,3
286,CVE-2022-43939,2025-03-04,CVE-2022-38028,2025-04-17,11,0.8499999999999999,0.0169,0.87738,0.0,0.01614,0.87449,0.0,0.002890000000000059,1
286,CVE-2022-43939,2025-03-04,CVE-2022-0847,2025-04-30,8,0.7999999999999998,0.0169,0.87738,0.0,0.03123,0.91147,0.0,0.034089999999999954,2
286,CVE-2022-43939,2025-03-04,CVE-2022-26500,2025-05-13,5,0.25000000000000105,0.0169,0.87738,0.0,0.05577,0.93304,0.0,0.05565999999999993,3
291,CVE-2022-45185,2025-01-08,CVE-2022-4046,2025-04-22,1,0.05,0.00045,0.17541,0.0,0.00047,0.19226,0.0,0.016849999999999976,1
294,CVE-2022-4681,2024-03-10,CVE-2022-2070,2025-05-25,4,0.0,0.00227,0.6013,0.0,0.00177,0.54063,0.0,0.06066999999999989,1
